grp pers temp it in_BKS out_BKS SEED timeElapsed
6 60 2250.0 50 44496.293 45045.117 SSMnAb0i8JDpIJN 276.96346048099997
6 60 2250.0 50 44198.893 44899.394 wJOGWn7G5kNeBmV 270.52928821399999
6 60 2250.0 50 44754.010 45083.379 aEPyNVGNGkv2HiA 272.632112558
6 60 2250.0 50 44191.577 44727.378 Y819sDUI7GZWGgV 275.838690149
6 60 2250.0 50 43661.881 44700.256 LNxVuYdKoGJUKj9 280.976463794
6 60 2250.0 50 44221.710 44725.120 a300i2CZjNwC3Qz 281.62167735599999
6 60 2250.0 50 43881.061 44697.463 1Z6mpftEwa6EyPA 275.852811792
6 60 2250.0 50 44663.298 44825.227 MIkwLFnAdM0Gbnl 277.037538525
6 60 2250.0 50 44475.671 44805.002 wAFkAHnHtgum0Ck 281.856788527
6 60 2250.0 50 44011.632 45107.485 qZr4LLzYMySEPDf 281.44578090200001
