grp pers temp it in_BKS out_BKS SEED timeElapsed
6 60 2250.0 50 13617.556 16014.155 SSMnAb0i8JDpIJN 287.497249842
6 60 2250.0 50 13286.977 16378.944 wJOGWn7G5kNeBmV 288.62729664999999
6 60 2250.0 50 13375.532 16819.520 aEPyNVGNGkv2HiA 283.75465714100001
6 60 2250.0 50 13047.176 16800.779 Y819sDUI7GZWGgV 284.46165267
6 60 2250.0 50 12628.367 16241.082 LNxVuYdKoGJUKj9 282.725474625
6 60 2250.0 50 13538.707 15890.723 a300i2CZjNwC3Qz 283.152473685
6 60 2250.0 50 13628.172 15714.242 1Z6mpftEwa6EyPA 278.468276266
6 60 2250.0 50 13611.302 16574.188 MIkwLFnAdM0Gbnl 280.52275706200001
6 60 2250.0 50 13378.709 16512.561 wAFkAHnHtgum0Ck 278.31357002
6 60 2250.0 50 13125.543 16273.251 qZr4LLzYMySEPDf 278.562561301
