grp pers temp it in_BKS out_BKS SEED timeElapsed
5 30 2250.0 50 3883.000 4387.000 SSMnAb0i8JDpIJN 22.736760566
5 30 2250.0 50 4059.000 4626.000 wJOGWn7G5kNeBmV 24.757366048
5 30 2250.0 50 4064.000 4520.000 aEPyNVGNGkv2HiA 23.677824975
5 30 2250.0 50 3818.000 4461.000 Y819sDUI7GZWGgV 26.008380225
5 30 2250.0 50 4007.000 4369.000 LNxVuYdKoGJUKj9 23.290902426
5 30 2250.0 50 3791.000 4530.000 a300i2CZjNwC3Qz 24.587716759
5 30 2250.0 50 3689.000 4447.000 1Z6mpftEwa6EyPA 24.247788884000002
5 30 2250.0 50 3977.000 4357.000 MIkwLFnAdM0Gbnl 24.937168497000002
5 30 2250.0 50 3927.000 4623.000 wAFkAHnHtgum0Ck 23.659457949
5 30 2250.0 50 3994.000 4495.000 qZr4LLzYMySEPDf 22.507651335
